epoch,negative_elbo
1,392.10067019467675
2,281.5289530392772
3,270.6352867688288
4,265.8923110229101
5,262.74008870811826
6,260.47057144669867
7,258.6955415121138
8,257.4009456410607
9,256.2063134029555
10,255.29513440697016
epoch,negative_elbo
1,401.97714917356967
2,295.35451684257646
3,281.65691852060684
4,276.9006738164
5,274.02011906350054
6,272.0338227262873
7,270.5723499636004
8,269.34636646706366
9,268.29551375968225
10,267.4273572044413
11,266.68575259995436
epoch,negative_elbo
1,538.6563038047375
2,534.8195335038062
3,533.7295547208511
4,533.0251233600628
5,532.283758955297
6,532.0277944461004
7,531.7703903670499
8,531.5156601098711
9,531.3300202165113
10,531.0906205966098
11,530.9903218565527
12,530.8338940273354
13,530.7331018600545
14,530.6183897688142
15,530.5373385336763
16,530.4832155925869
17,530.3636569060791
18,530.299927800035
19,530.2403974176852
20,530.171093333111
epoch,negative_elbo
1,538.8050090907859
2,534.735506332544
3,533.8221447923268
4,533.3516633350287
5,532.9490387711988
6,532.4360539162553
7,532.1182542147478
8,531.84721864682
9,531.7373299613961
10,531.6036400403132
11,531.3056798261156
12,531.0908395284777
13,530.9180148683464
14,530.8121197841974
15,530.5777876455985
16,530.443655561612
17,530.3345628084978
18,530.2043397103455
19,530.0842276036803
20,530.0324126643585
epoch,negative_elbo
1,238.94506104753265
2,217.18414878234537
3,213.05419397506796
4,210.21137857182686
5,208.2675046320277
6,206.780234565857
7,205.45043373718588
8,204.67396861333856
9,203.63194883951127
10,202.74183255809348
11,202.13665566296817
12,201.67715680459267
13,201.32456551697365
14,201.00331026156658
15,200.6320384217937
16,200.23545742950927
17,199.4204763699494
18,199.14846767559885
19,198.96734133855765
20,198.30343165443446
epoch,negative_elbo
1,178.97733880921388
2,165.6526286512963
3,164.16614385093925
4,163.34782815157666
5,162.7621425111622
6,162.5597983149607
7,162.46231655580894
8,162.32080711600875
9,162.24691923908898
10,162.18747436783994
11,162.10494399096186
12,162.06582983580827
13,161.99521357679825
14,161.91435355692306
15,161.92989084738423
16,161.8913112058202
17,161.81426612748155
18,161.77953139135144
19,161.7889378892701
20,161.7576931003827
epoch,negative_elbo
1,342.6788967462334
2,336.44924018070054
3,335.10279131291895
4,332.8566978234746
5,331.6483927170012
6,330.9486327603889
7,330.45036223095025
8,330.1718856176419
9,330.0276801924568
10,329.9194310859021
11,329.8360709696213
12,329.8191060622957
13,329.77391193923216
14,329.7678413187554
15,329.72194421660305
16,329.7146967640554
17,329.7160126676936
18,329.65368805420184
19,329.6660526238994
20,329.62490177052763
epoch,negative_elbo
1,10111.820636110093
2,7999.281319307797
3,7537.495004627468
4,7321.847868342283
5,7195.442798659285
6,7111.142212304896
7,7047.206482519844
8,6980.434930921491
9,6937.569968045457
10,6880.320297387773
11,6831.562374933298
12,6796.754704592449
13,6764.246647170157
14,6742.907655958178
15,6722.335144368663
16,6707.994966586346
17,6690.183935598986
18,6679.43212056847
19,6674.425235646511
20,6654.367639824573
epoch,negative_elbo
1,342.3260824392801
epoch,negative_elbo
1,342.7539246843108
2,333.6442732347877
3,331.6412086771799
4,330.8153041648254
