epoch,negative_elbo
1,548.8614354087805
2,533.7159957315777
3,529.571135660373
4,527.4180078984833
5,525.9804779345859
6,525.2575200263057
7,524.5529949631991
8,524.1735766562479
9,523.8849382431047
10,523.5258170894268
epoch,negative_elbo
1,534.2598003440377
2,526.5168789239677
3,524.7244725181555
4,523.710982869249
5,522.9581618008772
6,522.1490279841958
7,521.7788134465986
8,521.6496686253502
9,521.5308333389787
10,521.3851101121119
epoch,negative_elbo
1,-1.9858780969706377e24
epoch,negative_elbo
1,8.314308605416108e24
epoch,negative_elbo
1,7.729669627966324e24
2,8.17426457530898e24
3,7.850952815942257e24
4,7.906614602655821e24
5,8.210918189887655e24
6,8.071627732220745e24
7,8.0928499217874e24
8,8.34208872142848e24
9,8.064872790185837e24
10,7.958596656095522e24
epoch,negative_elbo
1,248.9659892502564
2,222.93424891713082
3,216.80905161138023
4,214.24806211750433
5,212.60308170216825
6,211.1625095558777
7,210.27983871671663
8,209.0977110806753
9,208.25343534455357
10,207.79136980152435
epoch,negative_elbo
1,192.62153622231335
2,165.93654918365317
3,159.1453018758442
4,156.76792510367508
5,155.67737917253785
6,154.91029406764338
7,154.12420600557277
8,153.29214993764904
9,152.53533352553654
10,152.0821631400028
epoch,negative_elbo
1,229.9351838721537
2,198.4773347054627
3,193.42640029760665
4,191.71253911917086
5,190.97395126033365
6,190.5635737823193
7,189.8887722866258
8,189.47350137846956
9,189.13981281553288
10,189.03732993534052
11,188.808611337505
12,188.50243002322594
13,188.39119481887735
14,188.3347514833432
15,188.36463421767652
16,188.26471728932515
17,188.2064074961073
18,188.15282626645669
19,188.19204799851587
20,188.0840592033199
21,188.0514529135591
22,188.03728582001546
23,188.05884544673825
24,188.0118851961932
25,188.0389898538335
26,188.02185908656492
27,188.05309278555333
28,187.99006600720907
29,188.0132478207127
30,187.9344909895955
31,187.96021911555954
32,187.95999425605115
33,187.91959609903927
34,187.87633135784398
35,187.90262506865642
36,187.8448517757648
37,187.84132162153148
38,187.86503024594887
39,187.79613407749758
40,187.78852311727712
41,187.91010296637373
42,187.81248096315431
43,187.7917402302061
44,187.88884721265404
45,187.7832945637413
46,187.79070263254985
47,187.8506126281673
48,187.70235706113573
49,187.84968138606214
50,187.81607027980027
epoch,negative_elbo
1,238.30561296102712
2,217.87420401883608
3,213.1236959679277
4,209.15294700142158
5,206.76074347399341
6,205.4067251231907
7,204.34990183240959
8,203.04157137387335
9,202.26756379444038
10,201.59681621864993
11,200.9779855571409
12,200.50119542922891
13,200.21351161048915
14,199.83127661575756
15,199.57196258251795
16,199.3102980606584
17,199.11640703818077
18,199.03515970236208
19,198.87326328273517
20,198.7405758331527
